,network,betac_dmp,betac_mc
9,Dissort_p1.0_soc-delicious,0.018757248,0.018757248
8,Dissort_p0.8_soc-delicious,0.017503086,0.017503086
7,Dissort_p0.6_soc-delicious,0.016335496,0.016335496
6,Dissort_p0.4_soc-delicious,0.015137271,0.015137271
5,Dissort_p0.2_soc-delicious,0.014237081,0.014237081
0,Assort_p0.2_soc-delicious,0.011824459,0.011824459
1,Assort_p0.4_soc-delicious,0.010789721,0.010789721
2,Assort_p0.6_soc-delicious,0.009786442,0.009786442
3,Assort_p0.8_soc-delicious,0.008939225,0.008939225
4,Assort_p1.0_soc-delicious,0.008230606,0.008230606
