,network,betac_dmp,betac_mc,alpha
0,email-enron-large,0.008659643045028436,0.008659643045028436,0.0
1,email-enron-large,0.008659643045028436,0.008659643045028436,0.05
2,email-enron-large,0.008659643045028436,0.008659643045028436,0.1
3,email-enron-large,0.008659643045028436,0.008659643045028436,0.15000000000000002
4,email-enron-large,0.008659643045028436,0.008659643045028436,0.2
5,email-enron-large,0.008659643045028436,0.008659643045028436,0.25
6,email-enron-large,0.008659643045028436,0.008659643045028436,0.30000000000000004
7,email-enron-large,0.008659643045028436,0.008659643045028436,0.35000000000000003
8,email-enron-large,0.008659643045028436,0.008659643045028436,0.4
9,email-enron-large,0.008659643045028436,0.008659643045028436,0.45
10,email-enron-large,0.008659643045028436,0.008659643045028436,0.5
11,email-enron-large,0.008659643045028436,0.008659643045028436,0.55
12,email-enron-large,0.008659643045028436,0.008659643045028436,0.6000000000000001
13,email-enron-large,0.008659643045028436,0.008659643045028436,0.65
14,email-enron-large,0.008659643045028436,0.008659643045028436,0.7000000000000001
15,email-enron-large,0.008659643045028436,0.008659643045028436,0.75
16,email-enron-large,0.008659643045028436,0.008659643045028436,0.8
17,email-enron-large,0.008659643045028436,0.008659643045028436,0.8500000000000001
18,email-enron-large,0.008659643045028436,0.008659643045028436,0.9
19,email-enron-large,0.008659643045028436,0.008659643045028436,0.9500000000000001
20,email-enron-large,0.008659643045028436,0.008659643045028436,1.0
