network,N,L,<k>,gamma,r,DMP_betac,LS
GKK model,51490,100000,3.884249369,2.1,-0.110804953,0.010937601,0.766533382
GKK model,57539,100000,3.4759033,2.2,-0.07826568,0.014726203,0.874819085
GKK model,62597,100000,3.195041296,2.3,-0.054241731,0.020125553,0.969175384
GKK model,66554,100000,3.005078583,2.4,-0.034463151,0.028164861,1.028393845
GKK model,69853,100000,2.863155484,2.5,-0.020826006,0.041471725,1.047592347
GKK model,72258,100000,2.767859614,2.6,-0.012334469,0.057169305,1.07012718
GKK model,74223,100000,2.694582542,2.7,-0.011051922,0.084876619,1.002504287
GKK model,75961,100000,2.632930056,2.8,-0.002969669,0.106837829,1.027971155
GKK model,77173,100000,2.591579957,2.9,-0.005067289,0.140327803,0.953866779
GKK model,78203,100000,2.557446645,3,0.002155099,0.163528933,0.979835849
GKK model,79005,100000,2.531485349,3.1,-0.000969476,0.200470335,0.899199281
GKK model,79656,100000,2.510796425,3.2,0.000321113,0.22993554,0.821993985
GKK model,80304,100000,2.490535963,3.3,-0.007392391,0.268469912,0.678581693
GKK model,80884,100000,2.47267692,3.4,0.002567642,0.277444637,0.772019574
GKK model,81390,100000,2.457304337,3.5,-0.000451155,0.308220133,0.622195044
GKK model,81789,100000,2.445316607,3.6,0.003288458,0.322251866,0.632879568
GKK model,82045,100000,2.437686635,3.7,-0.000153093,0.339162777,0.613295109
GKK model,82637,100000,2.420223387,3.8,0.000725949,0.35595196,0.543656285
GKK model,82819,100000,2.414904792,3.9,-0.002259969,0.371843805,0.523251896
GKK model,83041,100000,2.408448839,4,-0.001715755,0.384027016,0.492360087
