,network,N,L,<k>,r,DMP_betac,LS
0,100000_7_3.3.edgelist,100000,577430,11.5486,-0.0024982076223020546,0.048094797393151596,0.09527430674978994
1,100000_6_3.3.edgelist,100000,492157,9.84314,-0.0030378127915018913,0.050401625044499146,0.13251629796354142
2,100000_10_3.3.edgelist,100000,837560,16.7512,-0.0019801768865851696,0.03342623756658942,0.06146935067852049
3,100000_2_3.3.edgelist,100000,137836,2.75672,0.000564117608381159,0.26767634336488655,0.6571709822079248
4,100000_9_3.3.edgelist,100000,752652,15.05304,-0.0015668316646169718,0.03570243460349435,0.07279149872515275
5,100000_4_3.3.edgelist,100000,313560,6.2712,-0.0033003796062189587,0.08756841427842105,0.22552630974291507
6,100000_5_3.3.edgelist,100000,399294,7.98588,-0.0017112597036326592,0.07166861980588912,0.14683553817541295
7,100000_3_3.3.edgelist,100000,225218,4.50436,-0.001299510005935996,0.13532727310875992,0.3334567126307871
8,100000_8_3.3.edgelist,100000,660324,13.20648,0.0031664596369763687,0.043833941359022514,0.078096390862192
